attribute	classification	first_write_line	first_write_method
_active_chat_is_empty	never_written_only_read_or_called		
_active_stream_cancel	initialized_in___init__	504	__init__
_api_messages	never_written_only_read_or_called		
_append_message	never_written_only_read_or_called		
_apply_composer_height	never_written_only_read_or_called		
_apply_health	never_written_only_read_or_called		
_apply_restored_transcript	never_written_only_read_or_called		
_begin_model_load	never_written_only_read_or_called		
_brand_icon_path	never_written_only_read_or_called		
_build_history_sidebar	never_written_only_read_or_called		
_build_load_overlay	never_written_only_read_or_called		
_build_ui	never_written_only_read_or_called		
_chat_title_label	initialized_in___init__	546	__init__
_clear_btn	initialized_in___init__	537	__init__
_clipboard_set	never_written_only_read_or_called		
_commit_assistant_result	never_written_only_read_or_called		
_composer_char_label	initialized_in___init__	531	__init__
_composer_cmd_busy	never_written_only_read_or_called		
_composer_content_height_px	never_written_only_read_or_called		
_composer_hint	initialized_in___init__	532	__init__
_composer_hint_fade_id	initialized_in___init__	533	__init__
_composer_hint_should_show	never_written_only_read_or_called		
_composer_layout_hooked	first_assigned_elsewhere	1247	_hook_composer_surface_layout
_composer_line_height_px	never_written_only_read_or_called		
_composer_max_visible_lines	never_written_only_read_or_called		
_composer_truncating	initialized_in___init__	534	__init__
_confirm_delete_conversation	never_written_only_read_or_called		
_continue_message	never_written_only_read_or_called		
_conversation_display_title	never_written_only_read_or_called		
_conversation_id	initialized_in___init__	500	__init__
_delete_message	never_written_only_read_or_called		
_drop_messages_from	never_written_only_read_or_called		
_edit_resend_message	never_written_only_read_or_called		
_empty_box	initialized_in___init__	507	__init__
_empty_icon	initialized_in___init__	535	__init__
_empty_sub	first_assigned_elsewhere	1513	_show_empty_state
_empty_title	first_assigned_elsewhere	1499	_show_empty_state
_ensure_conversation	never_written_only_read_or_called		
_find_message_index	never_written_only_read_or_called		
_format_pull_progress	never_written_only_read_or_called		
_greeted_models	initialized_in___init__	516	__init__
_handle_close_request	never_written_only_read_or_called		
_health	initialized_in___init__	549	__init__
_health_action_btn	initialized_in___init__	553	__init__
_health_action_id	initialized_in___init__	554	__init__
_health_action_model	initialized_in___init__	555	__init__
_health_banner	initialized_in___init__	550	__init__
_health_detail	initialized_in___init__	552	__init__
_health_title	initialized_in___init__	551	__init__
_hide_load_overlay	never_written_only_read_or_called		
_history_dirty	initialized_in___init__	545	__init__
_history_list	initialized_in___init__	543	__init__
_history_restored	initialized_in___init__	518	__init__
_hook_composer_surface_layout	never_written_only_read_or_called		
_input_scroll	initialized_in___init__	530	__init__
_install_css	never_written_only_read_or_called		
_invalidate_active_stream	never_written_only_read_or_called		
_load_failed	initialized_in___init__	547	__init__
_load_generation	initialized_in___init__	548	__init__
_load_indeterminate	initialized_in___init__	515	__init__
_load_model_label	initialized_in___init__	521	__init__
_load_overlay	initialized_in___init__	519	__init__
_load_progress	initialized_in___init__	523	__init__
_load_pulse_id	initialized_in___init__	514	__init__
_load_spinner	initialized_in___init__	524	__init__
_load_status	initialized_in___init__	522	__init__
_load_title	initialized_in___init__	520	__init__
_loading_model	initialized_in___init__	512	__init__
_make_chat_actions_popover	never_written_only_read_or_called		
_make_empty_brand_icon	never_written_only_read_or_called		
_mark_history_dirty	never_written_only_read_or_called		
_messages	initialized_in___init__	501	__init__
_model	initialized_in___init__	505	__init__
_msg_counter	initialized_in___init__	511	__init__
