attribute	line	enclosing_method	enclosing_closure	ast_context	exact_operation	exact_source_text	matches_chatsidebar_method_name
client	498	__init__		Store	self.client = client or OllamaClient()	self.client	False
_store	499	__init__		Store	self._store = ConversationStore()	self._store	False
_conversation_id	500	__init__		AnnAssign	self._conversation_id: str | None = None	self._conversation_id	False
_messages	501	__init__		AnnAssign	self._messages: list[dict[str, str]] = []	self._messages	False
_streaming	502	__init__		Store	self._streaming = False	self._streaming	False
_stream_generation	503	__init__		Store	self._stream_generation = 0	self._stream_generation	False
_active_stream_cancel	504	__init__		AnnAssign	self._active_stream_cancel: threading.Event | None = None	self._active_stream_cancel	False
_model	505	__init__		AnnAssign	self._model: str | None = None	self._model	False
_on_close_request	506	__init__		AnnAssign	self._on_close_request: Callable[[], bool] | None = None	self._on_close_request	False
_empty_box	507	__init__		AnnAssign	self._empty_box: Gtk.Widget | None = None	self._empty_box	False
_status_label	508	__init__		AnnAssign	self._status_label: Gtk.Label | None = None	self._status_label	False
_transcript_mode	509	__init__		Store	self._transcript_mode = _transcript_mode()	self._transcript_mode	False
_web	510	__init__		AnnAssign	self._web: object | None = None	self._web	False
_msg_counter	511	__init__		Store	self._msg_counter = 0	self._msg_counter	False
_loading_model	512	__init__		Store	self._loading_model = False	self._loading_model	False
_stop_load	513	__init__		Store	self._stop_load = False	self._stop_load	False
_load_pulse_id	514	__init__		AnnAssign	self._load_pulse_id: int = 0	self._load_pulse_id	False
_load_indeterminate	515	__init__		Store	self._load_indeterminate = True	self._load_indeterminate	False
_greeted_models	516	__init__		AnnAssign	self._greeted_models: set[str] = set()	self._greeted_models	False
_suppress_model_select	517	__init__		Store	self._suppress_model_select = False	self._suppress_model_select	False
_history_restored	518	__init__		Store	self._history_restored = False	self._history_restored	False
_load_overlay	519	__init__		AnnAssign	self._load_overlay: Gtk.Widget | None = None	self._load_overlay	False
_load_title	520	__init__		AnnAssign	self._load_title: Gtk.Label | None = None	self._load_title	False
_load_model_label	521	__init__		AnnAssign	self._load_model_label: Gtk.Label | None = None	self._load_model_label	False
_load_status	522	__init__		AnnAssign	self._load_status: Gtk.Label | None = None	self._load_status	False
_load_progress	523	__init__		AnnAssign	self._load_progress: Gtk.ProgressBar | None = None	self._load_progress	False
_load_spinner	524	__init__		AnnAssign	self._load_spinner: Gtk.Spinner | None = None	self._load_spinner	False
_root_overlay	525	__init__		AnnAssign	self._root_overlay: Gtk.Overlay | None = None	self._root_overlay	False
model_combo	526	__init__		AnnAssign	self.model_combo: Gtk.DropDown | None = None	self.model_combo	False
send_btn	527	__init__		AnnAssign	self.send_btn: Gtk.Button | None = None	self.send_btn	False
stop_btn	528	__init__		AnnAssign	self.stop_btn: Gtk.Button | None = None	self.stop_btn	False
input	529	__init__		AnnAssign	self.input: Gtk.TextView | None = None	self.input	False
_input_scroll	530	__init__		AnnAssign	self._input_scroll: Gtk.ScrolledWindow | None = None	self._input_scroll	False
_composer_char_label	531	__init__		AnnAssign	self._composer_char_label: Gtk.Label | None = None	self._composer_char_label	False
_composer_hint	532	__init__		AnnAssign	self._composer_hint: Gtk.Label | None = None	self._composer_hint	False
_composer_hint_fade_id	533	__init__		AnnAssign	self._composer_hint_fade_id: int = 0	self._composer_hint_fade_id	False
_composer_truncating	534	__init__		Store	self._composer_truncating = False	self._composer_truncating	False
_empty_icon	535	__init__		AnnAssign	self._empty_icon: Gtk.Widget | None = None	self._empty_icon	False
_refresh_btn	536	__init__		AnnAssign	self._refresh_btn: Gtk.Button | None = None	self._refresh_btn	False
_clear_btn	537	__init__		AnnAssign	self._clear_btn: Gtk.Button | None = None	self._clear_btn	False
_new_chat_btn	538	__init__		AnnAssign	self._new_chat_btn: Gtk.Button | None = None	self._new_chat_btn	False
_sidebar_new_btn	539	__init__		AnnAssign	self._sidebar_new_btn: Gtk.Button | None = None	self._sidebar_new_btn	False
_settings_btn	540	__init__		AnnAssign	self._settings_btn: Gtk.Button | None = None	self._settings_btn	False
_sidebar_btn	541	__init__		AnnAssign	self._sidebar_btn: Gtk.ToggleButton | None = None	self._sidebar_btn	False
_sidebar	542	__init__		AnnAssign	self._sidebar: Gtk.Widget | None = None	self._sidebar	False
_history_list	543	__init__		AnnAssign	self._history_list: Gtk.ListBox | None = None	self._history_list	False
_sidebar_syncing	544	__init__		Store	self._sidebar_syncing = False	self._sidebar_syncing	False
_history_dirty	545	__init__		Store	self._history_dirty = True	self._history_dirty	False
_chat_title_label	546	__init__		AnnAssign	self._chat_title_label: Gtk.Label | None = None	self._chat_title_label	False
_load_failed	547	__init__		Store	self._load_failed = False	self._load_failed	False
_load_generation	548	__init__		Store	self._load_generation = 0	self._load_generation	False
_health	549	__init__		AnnAssign	self._health: HealthState = checking_state()	self._health	False
_health_banner	550	__init__		AnnAssign	self._health_banner: Gtk.Widget | None = None	self._health_banner	False
_health_title	551	__init__		AnnAssign	self._health_title: Gtk.Label | None = None	self._health_title	False
_health_detail	552	__init__		AnnAssign	self._health_detail: Gtk.Label | None = None	self._health_detail	False
_health_action_btn	553	__init__		AnnAssign	self._health_action_btn: Gtk.Button | None = None	self._health_action_btn	False
_health_action_id	554	__init__		AnnAssign	self._health_action_id: str | None = None	self._health_action_id	False
_health_action_model	555	__init__		AnnAssign	self._health_action_model: str | None = None	self._health_action_model	False
_native_rows	557	__init__		AnnAssign	self._native_rows: dict[str, Gtk.Widget] = {}	self._native_rows	False
set_default_size	560	__init__		Load	self.set_default_size	self.set_default_size	False
