registering_method	registration_line	mechanism	signal	callback	sync_timed_queued_threaded	enclosing_closure	source_text
__init__	570	connect	close-request	self._handle_close_request	GObject/GTK signal handler (delivery deferred to signal emission)		"self.connect(""close-request"", self._handle_close_request)"
__init__	572	connect	notify::dark	self._sync_empty_brand_icon	GObject/GTK signal handler (delivery deferred to signal emission)		"Adw.StyleManager.get_default().connect(\n                ""notify::dark"", self._sync_empty_brand_icon\n            )"
__init__	579	connect	key-pressed	self._on_key	GObject/GTK signal handler (delivery deferred to signal emission)		"key.connect(""key-pressed"", self._on_key)"
__init__	584	GLib.idle_add		self._refresh_models	queued (GLib.idle_add)		GLib.idle_add(self._refresh_models)
_build_ui	658	connect	toggled	self._on_sidebar_toggled	GObject/GTK signal handler (delivery deferred to signal emission)		"sidebar_btn.connect(""toggled"", self._on_sidebar_toggled)"
_build_ui	668	connect	clicked	lambda *_: self.clear_chat()	GObject/GTK signal handler (delivery deferred to signal emission)		"clear_btn.connect(""clicked"", lambda *_: self.clear_chat())"
_build_ui	709	connect	activate	lambda *_: self.new_chat()	GObject/GTK signal handler (delivery deferred to signal emission)		"new_action.connect(""activate"", lambda *_: self.new_chat())"
_build_ui	712	connect	activate	lambda *_: self.toggle_sidebar()	GObject/GTK signal handler (delivery deferred to signal emission)		"side_action.connect(""activate"", lambda *_: self.toggle_sidebar())"
_build_ui	715	connect	activate	lambda *_: self.open_settings()	GObject/GTK signal handler (delivery deferred to signal emission)		"settings_action.connect(""activate"", lambda *_: self.open_settings())"
_build_ui	718	connect	activate	"lambda *_: self.export_conversation(self._conversation_id or """", ""md"")"	GObject/GTK signal handler (delivery deferred to signal emission)		"exp_md.connect(\n            ""activate"",\n            lambda *_: self.export_conversation(self._conversation_id or """", ""md""),\n        )"
_build_ui	724	connect	activate	"lambda *_: self.export_conversation(self._conversation_id or """", ""json"")"	GObject/GTK signal handler (delivery deferred to signal emission)		"exp_json.connect(\n            ""activate"",\n            lambda *_: self.export_conversation(self._conversation_id or """", ""json""),\n        )"
_build_ui	731	connect	activate	lambda *_: self.hide_to_tray()	GObject/GTK signal handler (delivery deferred to signal emission)		"hide_action.connect(""activate"", lambda *_: self.hide_to_tray())"
_build_ui	734	connect	activate	lambda *_: self.toggle_maximize()	GObject/GTK signal handler (delivery deferred to signal emission)		"max_action.connect(""activate"", lambda *_: self.toggle_maximize())"
_build_ui	737	connect	activate	lambda *_: self.hide_to_tray()	GObject/GTK signal handler (delivery deferred to signal emission)		"close_action.connect(""activate"", lambda *_: self.hide_to_tray())"
_build_ui	740	connect	activate	lambda *_: self._refresh_models()	GObject/GTK signal handler (delivery deferred to signal emission)		"refresh_action.connect(""activate"", lambda *_: self._refresh_models())"
_build_ui	784	connect	clicked	self._on_health_action	GObject/GTK signal handler (delivery deferred to signal emission)		"self._health_action_btn.connect(""clicked"", self._on_health_action)"
_build_ui	883	connect	changed	self._on_buffer_changed	GObject/GTK signal handler (delivery deferred to signal emission)		"buf.connect(""changed"", self._on_buffer_changed)"
_build_ui	884	connect	insert-text	self._on_composer_insert_text	GObject/GTK signal handler (delivery deferred to signal emission)		"buf.connect(""insert-text"", self._on_composer_insert_text)"
_build_ui	887	connect	key-pressed	self._on_input_key	GObject/GTK signal handler (delivery deferred to signal emission)		"input_key.connect(""key-pressed"", self._on_input_key)"
_build_ui	898	connect	clicked	lambda *_: self._request_stop()	GObject/GTK signal handler (delivery deferred to signal emission)		"self.stop_btn.connect(""clicked"", lambda *_: self._request_stop())"
_build_ui	924	connect	clicked	lambda *_: self._send()	GObject/GTK signal handler (delivery deferred to signal emission)		"self.send_btn.connect(""clicked"", lambda *_: self._send())"
_build_ui	960	connect	realize	self._hook_composer_surface_layout	GObject/GTK signal handler (delivery deferred to signal emission)		"self.connect(""realize"", self._hook_composer_surface_layout)"
_build_ui	961	connect	map	lambda *_: self._apply_composer_height()	GObject/GTK signal handler (delivery deferred to signal emission)		"self.connect(""map"", lambda *_: self._apply_composer_height())"
_build_ui	1004	GLib.idle_add		self._rebuild_history_list	queued (GLib.idle_add)		GLib.idle_add(self._rebuild_history_list)
_build_ui	1005	GLib.idle_add		self._refresh_chat_title	queued (GLib.idle_add)		GLib.idle_add(self._refresh_chat_title)
_build_history_sidebar	1029	connect	clicked	lambda *_: self.new_chat()	GObject/GTK signal handler (delivery deferred to signal emission)		"new_btn.connect(""clicked"", lambda *_: self.new_chat())"
_build_history_sidebar	1045	connect	row-activated	self._on_history_row_activated	GObject/GTK signal handler (delivery deferred to signal emission)		"self._history_list.connect(""row-activated"", self._on_history_row_activated)"
_build_history_sidebar	1071	connect	notify::selected	self._on_model_selected	GObject/GTK signal handler (delivery deferred to signal emission)		"self.model_combo.connect(""notify::selected"", self._on_model_selected)"
