caller_method	callee_method	line	source_text	enclosing_closure
__init__	_install_css	566	self._install_css()	
__init__	_build_ui	569	self._build_ui()	
__init__	_restore_history	583	self._restore_history()	
_build_ui	_build_history_sidebar	617	self._build_history_sidebar()	
_build_ui	clear_chat	668	self.clear_chat()	<lambda:L668>
_build_ui	new_chat	709	self.new_chat()	<lambda:L709>
_build_ui	toggle_sidebar	712	self.toggle_sidebar()	<lambda:L712>
_build_ui	open_settings	715	self.open_settings()	<lambda:L715>
_build_ui	export_conversation	720	"self.export_conversation(self._conversation_id or """", ""md"")"	<lambda:L720>
_build_ui	export_conversation	726	"self.export_conversation(self._conversation_id or """", ""json"")"	<lambda:L726>
_build_ui	hide_to_tray	731	self.hide_to_tray()	<lambda:L731>
_build_ui	toggle_maximize	734	self.toggle_maximize()	<lambda:L734>
_build_ui	hide_to_tray	737	self.hide_to_tray()	<lambda:L737>
_build_ui	_refresh_models	740	self._refresh_models()	<lambda:L740>
_build_ui	_show_empty_state	829	self._show_empty_state()	
_build_ui	_apply_composer_height	865	self._apply_composer_height()	
_build_ui	_request_stop	898	self._request_stop()	<lambda:L898>
_build_ui	_send	924	self._send()	<lambda:L924>
_build_ui	_apply_composer_height	961	self._apply_composer_height()	<lambda:L961>
_build_ui	_build_load_overlay	998	self._build_load_overlay()	
_build_history_sidebar	new_chat	1029	self.new_chat()	<lambda:L1029>
_build_history_sidebar	open_settings	1093	self.open_settings()	<lambda:L1093>
toggle_sidebar	_rebuild_history_list	1109	self._rebuild_history_list()	
_on_sidebar_toggled	toggle_sidebar	1154	self.toggle_sidebar(btn.get_active())	
_hook_composer_surface_layout	_apply_composer_height	1246	self._apply_composer_height()	<lambda:L1246>
_hook_composer_surface_layout	_apply_composer_height	1248	self._apply_composer_height()	
_apply_composer_height	_composer_line_height_px	1299	self._composer_line_height_px()	
_apply_composer_height	_composer_max_visible_lines	1303	self._composer_max_visible_lines()	
_apply_composer_height	_composer_content_height_px	1304	self._composer_content_height_px()	
_apply_composer_height	_sync_composer_action_valign	1319	self._sync_composer_action_valign(content_h=content_h, min_h=min_h)	
_sync_composer_action_valign	_composer_content_height_px	1326	self._composer_content_height_px()	
_sync_composer_hint	_composer_hint_should_show	1368	self._composer_hint_should_show()	
_sync_composer_hint	_composer_hint_should_show	1386	self._composer_hint_should_show()	_hide
_on_composer_insert_text	_update_composer_char_counter	1402	self._update_composer_char_counter(current)	
_on_buffer_changed	_update_composer_char_counter	1429	self._update_composer_char_counter(n)	
_on_buffer_changed	_apply_composer_height	1431	self._apply_composer_height()	
_make_empty_brand_icon	_brand_icon_path	1453	self._brand_icon_path()	
_sync_empty_brand_icon	_brand_icon_path	1475	self._brand_icon_path()	
_show_empty_state	_make_empty_brand_icon	1494	self._make_empty_brand_icon()	
clear_chat	_request_stop	1541	self._request_stop()	
clear_chat	_mark_history_dirty	1555	self._mark_history_dirty()	
clear_chat	_rebuild_history_list	1556	self._rebuild_history_list()	
clear_chat	_render_empty_transcript	1557	self._render_empty_transcript()	
clear_chat	_set_status	1558	"self._set_status(self._model or ""Ready"")"	
clear_chat	_show_ephemeral_greeting	1561	self._show_ephemeral_greeting()	
clear_chat	_refresh_chat_title	1562	self._refresh_chat_title()	
clear_chat	_sync_composer_hint	1563	self._sync_composer_hint()	
new_chat	_invalidate_active_stream	1583	self._invalidate_active_stream()	
new_chat	_active_chat_is_empty	1588	self._active_chat_is_empty()	
new_chat	_show_ephemeral_greeting	1590	self._show_ephemeral_greeting()	
new_chat	_render_empty_transcript	1614	self._render_empty_transcript()	
new_chat	_set_status	1615	"self._set_status(self._model or ""Ready"")"	
new_chat	_show_ephemeral_greeting	1617	self._show_ephemeral_greeting()	
new_chat	_mark_history_dirty	1618	self._mark_history_dirty()	
new_chat	_rebuild_history_list	1619	self._rebuild_history_list()	
new_chat	_refresh_chat_title	1620	self._refresh_chat_title()	
new_chat	_sync_composer_hint	1621	self._sync_composer_hint()	
_render_empty_transcript	_show_empty_state	1635	self._show_empty_state()	
_rebuild_history_list	_select_active_history_row	1642	self._select_active_history_row()	
_rebuild_history_list	_make_chat_actions_popover	1712	self._make_chat_actions_popover(cid)	
_rebuild_history_list	_refresh_chat_title	1722	self._refresh_chat_title()	
_on_history_row_activated	switch_conversation	1739	self.switch_conversation(cid)	
_make_chat_actions_popover	export_conversation	1782	"self.export_conversation(conversation_id, ""md"")"	<lambda:L1782>
_make_chat_actions_popover	export_conversation	1787	"self.export_conversation(conversation_id, ""json"")"	<lambda:L1787>
_make_chat_actions_popover	_confirm_delete_conversation	1792	self._confirm_delete_conversation(conversation_id)	<lambda:L1792>
_safe_export_basename	_conversation_display_title	1816	self._conversation_display_title(conversation_id)	
export_conversation	_safe_export_basename	1848	self._safe_export_basename(conversation_id)	
_confirm_delete_conversation	_conversation_display_title	1897	self._conversation_display_title(conversation_id)	
_confirm_delete_conversation	delete_conversation	1913	self.delete_conversation(conversation_id)	on_response
delete_conversation	_invalidate_active_stream	1923	self._invalidate_active_stream()	
delete_conversation	_mark_history_dirty	1930	self._mark_history_dirty()	
delete_conversation	switch_conversation	1937	self.switch_conversation(nxt.id)	
delete_conversation	new_chat	1939	self.new_chat()	
delete_conversation	_rebuild_history_list	1941	self._rebuild_history_list()	
switch_conversation	_invalidate_active_stream	1949	self._invalidate_active_stream()	
switch_conversation	_mark_history_dirty	1958	self._mark_history_dirty()	
switch_conversation	_apply_restored_transcript	1991	self._apply_restored_transcript(payload)	
switch_conversation	_render_empty_transcript	1993	self._render_empty_transcript()	
