method	start_line	end_line	line_count	decorators	is_async	duplicate_name_count_in_class
__init__	496	584	89		False	1
set_close_handler	586	587	2		False	1
_handle_close_request	589	593	5		False	1
_on_key	595	599	5		False	1
_install_css	601	608	8		False	1
_build_ui	610	1005	396		False	1
_build_history_sidebar	1007	1098	92		False	1
toggle_sidebar	1100	1113	14		False	1
open_settings	1115	1149	35		False	1
_on_sidebar_toggled	1151	1154	4		False	1
_mark_history_dirty	1156	1157	2		False	1
_refresh_chat_title	1159	1177	19		False	1
_build_load_overlay	1179	1237	59		False	1
_hook_composer_surface_layout	1239	1248	10		False	1
_composer_line_height_px	1250	1263	14		False	1
_composer_max_visible_lines	1265	1278	14		False	1
_composer_content_height_px	1280	1293	14		False	1
_apply_composer_height	1295	1319	25		False	1
_sync_composer_action_valign	1321	1335	15		False	1
_update_composer_char_counter	1337	1353	17		False	1
_composer_hint_should_show	1355	1361	7		False	1
_sync_composer_hint	1363	1390	28		False	1
_on_composer_insert_text	1392	1411	20		False	1
_on_buffer_changed	1413	1433	21		False	1
_brand_icon_path	1435	1450	16		False	1
_make_empty_brand_icon	1452	1468	17		False	1
_sync_empty_brand_icon	1470	1479	10		False	1
_show_empty_state	1481	1520	40		False	1
toggle	1522	1527	6		False	1
hide_to_tray	1529	1531	3		False	1
toggle_maximize	1533	1537	5		False	1
clear_chat	1539	1563	25		False	1
_active_chat_is_empty	1565	1574	10		False	1
new_chat	1576	1627	52		False	1
_render_empty_transcript	1629	1635	7		False	1
_rebuild_history_list	1637	1723	87		False	1
_select_active_history_row	1725	1733	9		False	1
_on_history_row_activated	1735	1739	5		False	1
_make_chat_actions_popover	1741	1796	56		False	1
_conversation_display_title	1798	1813	16		False	1
_safe_export_basename	1815	1822	8		False	1
export_conversation	1824	1894	71		False	1
_confirm_delete_conversation	1896	1916	21		False	1
delete_conversation	1918	1942	25		False	1
switch_conversation	1944	2010	67		False	1
_select_model_name	2012	2046	35		False	1
_on_web_intent	2048	2069	22		False	1
_next_msg_id	2071	2073	3		False	1
_ensure_conversation	2075	2080	6		False	1
_persist_message	2082	2096	15		False	1
_restore_history	2098	2158	61		False	1
_apply_restored_transcript	2160	2183	24		False	1
_find_message_index	2185	2189	5		False	1
_api_messages	2191	2197	7		False	1
_clipboard_set	2199	2202	4		False	1
_delete_message	2204	2232	29		False	1
_drop_messages_from	2234	2253	20		False	1
_regenerate_message	2255	2297	43		False	1
_edit_resend_message	2299	2338	40		False	1
_continue_message	2340	2366	27		False	1
_set_status	2368	2382	15		False	1
_on_input_key	2384	2390	7		False	1
_on_model_selected	2392	2409	18		False	1
_refresh_models	2411	2426	16		False	1
_on_ollama_probe	2428	2474	47		False	1
_apply_health	2476	2525	50		False	1
_on_health_action	2527	2545	19		False	1
_preferred_model	2547	2555	9		False	1
_set_load_controls_sensitive	2557	2581	25		False	1
_show_load_overlay	2585	2618	34		False	1
_start_load_pulse	2620	2632	13		False	1
_stop_load_pulse	2634	2640	7		False	1
_hide_load_overlay	2642	2651	10		False	1
_update_load_progress	2653	2683	31		False	1
_begin_model_load	2685	2744	60		False	1
_on_load_status	2746	2772	27		False	1
_on_load_chunk	2774	2778	5		False	1
_on_model_load_finished	2780	2847	68		False	1
_show_ephemeral_greeting	2849	2876	28		False	1
_request_stop	2878	2881	4		False	1
_invalidate_active_stream	2883	2899	17		False	1
_post_status_message	2901	2918	18		False	1
_try_composer_command	2920	2945	26		False	1
_composer_cmd_busy	2947	2948	2		False	1
_set_composer_cmd_busy	2950	2960	11		False	1
_update_status_message	2962	2982	21		False	1
_format_pull_progress	2985	3001	17	staticmethod	False	1
_run_ollama_pull	3003	3083	81		False	1
_run_ollama_info	3085	3119	35		False	1
_send	3121	3159	39		False	1
_remove_empty_state	3161	3168	8		False	1
_append_message	3170	3249	80		False	1
_native_action_bar	3251	3358	108		False	1
_native_edit_user	3360	3399	40		False	1
_native_remove_message	3401	3407	7		False	1
_scroll_to_end	3409	3418	10		False	1
_start_assistant_stream	3420	3672	253		False	1
_commit_assistant_result	3674	3729	56		False	1
_stream_finished	3731	3742	12		False	1
