test_script	chatsidebar_method	entry_count	first_observed_source_line_def
test_generation_lifecycle	_refresh_chat_title	24	1159
test_generation_lifecycle	_set_status	24	2368
test_generation_lifecycle	_apply_composer_height	23	1295
test_generation_lifecycle	_composer_content_height_px	23	1280
test_generation_lifecycle	_composer_line_height_px	23	1250
test_generation_lifecycle	_composer_max_visible_lines	23	1265
test_generation_lifecycle	_sync_composer_action_valign	23	1321
test_generation_lifecycle	_mark_history_dirty	10	1156
test_generation_lifecycle	_set_load_controls_sensitive	9	2557
test_generation_lifecycle	_start_load_pulse	9	2620
test_generation_lifecycle	_ensure_conversation	8	2075
test_generation_lifecycle	_stop_load_pulse	8	2634
test_generation_lifecycle	_api_messages	7	2191
test_generation_lifecycle	_next_msg_id	7	2071
test_generation_lifecycle	_persist_message	7	2082
test_generation_lifecycle	_start_assistant_stream	7	3420
test_generation_lifecycle	_stream_finished	7	3731
test_generation_lifecycle	_apply_health	6	2476
test_generation_lifecycle	_make_chat_actions_popover	6	1741
test_generation_lifecycle	_begin_model_load	4	2685
test_generation_lifecycle	_commit_assistant_result	4	3674
test_generation_lifecycle	_find_message_index	4	2185
test_generation_lifecycle	_hide_load_overlay	4	2642
test_generation_lifecycle	_on_load_status	4	2746
test_generation_lifecycle	_on_model_load_finished	4	2780
test_generation_lifecycle	_rebuild_history_list	4	1637
test_generation_lifecycle	_show_load_overlay	4	2585
test_generation_lifecycle	switch_conversation	4	1944
test_generation_lifecycle	_composer_hint_should_show	3	1355
test_generation_lifecycle	_invalidate_active_stream	3	2883
test_generation_lifecycle	_render_empty_transcript	3	1629
test_generation_lifecycle	_select_model_name	3	2012
test_generation_lifecycle	_sync_composer_hint	3	1363
test_generation_lifecycle	_show_ephemeral_greeting	2	2849
test_generation_lifecycle	__init__	1	496
test_generation_lifecycle	_build_history_sidebar	1	1007
test_generation_lifecycle	_build_load_overlay	1	1179
test_generation_lifecycle	_build_ui	1	610
test_generation_lifecycle	_hook_composer_surface_layout	1	1239
test_generation_lifecycle	_install_css	1	601
test_generation_lifecycle	_on_load_chunk	1	2774
test_generation_lifecycle	_on_model_selected	1	2392
test_generation_lifecycle	_on_ollama_probe	1	2428
test_generation_lifecycle	_on_web_intent	1	2048
test_generation_lifecycle	_preferred_model	1	2547
test_generation_lifecycle	_refresh_models	1	2411
test_generation_lifecycle	_request_stop	1	2878
test_generation_lifecycle	_restore_history	1	2098
test_generation_lifecycle	_update_load_progress	1	2653
test_markdown_sanitization	_apply_composer_height	45	1295
test_markdown_sanitization	_composer_content_height_px	45	1280
test_markdown_sanitization	_composer_line_height_px	45	1250
test_markdown_sanitization	_composer_max_visible_lines	45	1265
test_markdown_sanitization	_sync_composer_action_valign	45	1321
test_markdown_sanitization	_refresh_chat_title	8	1159
test_markdown_sanitization	_set_status	8	2368
test_markdown_sanitization	_set_load_controls_sensitive	5	2557
test_markdown_sanitization	_start_load_pulse	5	2620
test_markdown_sanitization	_apply_health	4	2476
test_markdown_sanitization	_stop_load_pulse	4	2634
test_markdown_sanitization	_begin_model_load	2	2685
test_markdown_sanitization	_composer_hint_should_show	2	1355
test_markdown_sanitization	_ensure_conversation	2	2075
test_markdown_sanitization	_hide_load_overlay	2	2642
test_markdown_sanitization	_mark_history_dirty	2	1156
test_markdown_sanitization	_on_load_status	2	2746
test_markdown_sanitization	_on_model_load_finished	2	2780
test_markdown_sanitization	_rebuild_history_list	2	1637
test_markdown_sanitization	_show_load_overlay	2	2585
test_markdown_sanitization	__init__	1	496
test_markdown_sanitization	_api_messages	1	2191
test_markdown_sanitization	_apply_restored_transcript	1	2160
test_markdown_sanitization	_build_history_sidebar	1	1007
test_markdown_sanitization	_build_load_overlay	1	1179
test_markdown_sanitization	_build_ui	1	610
test_markdown_sanitization	_commit_assistant_result	1	3674
test_markdown_sanitization	_find_message_index	1	2185
test_markdown_sanitization	_hook_composer_surface_layout	1	1239
test_markdown_sanitization	_install_css	1	601
test_markdown_sanitization	_make_chat_actions_popover	1	1741
test_markdown_sanitization	_next_msg_id	1	2071
test_markdown_sanitization	_on_load_chunk	1	2774
test_markdown_sanitization	_on_model_selected	1	2392
test_markdown_sanitization	_on_ollama_probe	1	2428
test_markdown_sanitization	_on_web_intent	1	2048
test_markdown_sanitization	_persist_message	1	2082
test_markdown_sanitization	_preferred_model	1	2547
test_markdown_sanitization	_refresh_models	1	2411
test_markdown_sanitization	_restore_history	1	2098
test_markdown_sanitization	_select_model_name	1	2012
test_markdown_sanitization	_show_ephemeral_greeting	1	2849
test_markdown_sanitization	_start_assistant_stream	1	3420
test_markdown_sanitization	_stream_finished	1	3731
test_markdown_sanitization	_sync_composer_hint	1	1363
test_markdown_sanitization	_update_load_progress	1	2653
test_markdown_sanitization	switch_conversation	1	1944
test_restore_scroll	_apply_composer_height	43	1295
test_restore_scroll	_composer_content_height_px	43	1280
test_restore_scroll	_composer_line_height_px	43	1250
test_restore_scroll	_composer_max_visible_lines	43	1265
test_restore_scroll	_sync_composer_action_valign	43	1321
test_restore_scroll	_refresh_chat_title	6	1159
test_restore_scroll	_set_status	6	2368
test_restore_scroll	_set_load_controls_sensitive	5	2557
test_restore_scroll	_start_load_pulse	5	2620
test_restore_scroll	_apply_health	4	2476
test_restore_scroll	_stop_load_pulse	4	2634
test_restore_scroll	_begin_model_load	2	2685
test_restore_scroll	_composer_hint_should_show	2	1355
test_restore_scroll	_hide_load_overlay	2	2642
test_restore_scroll	_on_load_status	2	2746
test_restore_scroll	_on_model_load_finished	2	2780
test_restore_scroll	_rebuild_history_list	2	1637
test_restore_scroll	_show_load_overlay	2	2585
test_restore_scroll	__init__	1	496
test_restore_scroll	_apply_restored_transcript	1	2160
test_restore_scroll	_build_history_sidebar	1	1007
test_restore_scroll	_build_load_overlay	1	1179
test_restore_scroll	_build_ui	1	610
test_restore_scroll	_ensure_conversation	1	2075
test_restore_scroll	_hook_composer_surface_layout	1	1239
test_restore_scroll	_install_css	1	601
test_restore_scroll	_make_chat_actions_popover	1	1741
test_restore_scroll	_mark_history_dirty	1	1156
test_restore_scroll	_on_load_chunk	1	2774
test_restore_scroll	_on_model_selected	1	2392
test_restore_scroll	_on_ollama_probe	1	2428
test_restore_scroll	_on_web_intent	1	2048
test_restore_scroll	_preferred_model	1	2547
test_restore_scroll	_refresh_models	1	2411
test_restore_scroll	_restore_history	1	2098
test_restore_scroll	_select_model_name	1	2012
test_restore_scroll	_show_ephemeral_greeting	1	2849
test_restore_scroll	_sync_composer_hint	1	1363
test_restore_scroll	_update_load_progress	1	2653
test_restore_scroll	switch_conversation	1	1944
test_sidebar_interactions	_apply_composer_height	81	1295
test_sidebar_interactions	_composer_content_height_px	81	1280
test_sidebar_interactions	_composer_line_height_px	81	1250
test_sidebar_interactions	_composer_max_visible_lines	81	1265
test_sidebar_interactions	_sync_composer_action_valign	81	1321
test_sidebar_interactions	_refresh_chat_title	15	1159
test_sidebar_interactions	_set_status	15	2368
test_sidebar_interactions	_set_load_controls_sensitive	11	2557
test_sidebar_interactions	_apply_health	10	2476
test_sidebar_interactions	_stop_load_pulse	10	2634
test_sidebar_interactions	_start_load_pulse	8	2620
test_sidebar_interactions	_begin_model_load	4	2685
test_sidebar_interactions	_ensure_conversation	4	2075
test_sidebar_interactions	_hide_load_overlay	4	2642
test_sidebar_interactions	_on_load_status	4	2746
test_sidebar_interactions	_on_model_load_finished	4	2780
test_sidebar_interactions	_on_model_selected	4	2392
test_sidebar_interactions	_rebuild_history_list	4	1637
test_sidebar_interactions	_show_load_overlay	4	2585
test_sidebar_interactions	_on_ollama_probe	3	2428
test_sidebar_interactions	_preferred_model	3	2547
test_sidebar_interactions	_refresh_models	3	2411
test_sidebar_interactions	_show_ephemeral_greeting	3	2849
test_sidebar_interactions	__init__	2	496
test_sidebar_interactions	_build_history_sidebar	2	1007
test_sidebar_interactions	_build_load_overlay	2	1179
test_sidebar_interactions	_build_ui	2	610
test_sidebar_interactions	_composer_hint_should_show	2	1355
test_sidebar_interactions	_hook_composer_surface_layout	2	1239
test_sidebar_interactions	_install_css	2	601
test_sidebar_interactions	_make_chat_actions_popover	2	1741
test_sidebar_interactions	_on_load_chunk	2	2774
test_sidebar_interactions	_on_sidebar_toggled	2	1151
test_sidebar_interactions	_on_web_intent	2	2048
test_sidebar_interactions	_restore_history	2	2098
test_sidebar_interactions	_update_load_progress	2	2653
test_sidebar_interactions	toggle_sidebar	2	1100
test_sidebar_interactions	_apply_restored_transcript	1	2160
test_sidebar_interactions	_mark_history_dirty	1	1156
test_sidebar_interactions	_select_active_history_row	1	1725
test_sidebar_interactions	_sync_composer_hint	1	1363
test_wire_code_ui_batch	_apply_composer_height	39	1295
test_wire_code_ui_batch	_composer_content_height_px	39	1280
test_wire_code_ui_batch	_composer_line_height_px	39	1250
test_wire_code_ui_batch	_composer_max_visible_lines	39	1265
test_wire_code_ui_batch	_sync_composer_action_valign	39	1321
test_wire_code_ui_batch	_refresh_chat_title	6	1159
test_wire_code_ui_batch	_set_status	6	2368
test_wire_code_ui_batch	_set_load_controls_sensitive	5	2557
